sentence_id,word_index,word,is_proper_noun,c_nmt_soft,cs_output_excerpt
S003,3,stoplight,FALSE,6.031,"Na každé z těchto světel je nakresleno stoplight."
S007,5,hydrant,FALSE,0.908,"Na chodníku je červený požární hydrant s řetězem."
S009,3,Danny,TRUE,0.831,"Andrej se podíval na Dannyho jak hýbe žlutou židlí."
S017,0,Danny,TRUE,0.407,"Danny polož tu tašku a židli je žlutou."
S027,5,neon,FALSE,0.925,"Za lahvemi je bar s neonovými světly."
S034,7,baseball,FALSE,1.016,"Někteří přátelé se třesou rukama na baseballovém stadionu."
S037,4,skateboard,FALSE,0.623,"Osoba ve vzduchu nad skateboardem při západu slunce."
S041,5,hotdog,FALSE,1.181,"Ruka drží hotdog s kečupovou hořčicí a cibulí."
S058,8,motor,FALSE,0.849,"Přilba muž namontuje svůj dobře udržovaný motorický cyklus."
S068,10,frisbee,FALSE,1.305,"Dvě ženy a čtyři muži si hrají s bílým frisbeem."
S081,0,Danny,TRUE,0.366,"Danny se podíval na Andreje jak dává zelenou židli."
S083,6,baseball,FALSE,1.316,"Muž se houpe po baseballu s rozhodčím za sebou."
S085,3,Danny,TRUE,0.906,"Andrej se podíval na Dannyho jak vyzvedává zelenou tašku."
S095,0,Danny,TRUE,0.274,"Danny opustil Andreje držel dalekohled."
S106,2,hydrant,FALSE,0.683,"Požární hydrant byl namalován jako americká vlajka."
S127,0,Andrei,TRUE,0.837,"Andrei a Danny vzali žlutou tašku."
S127,2,Danny,TRUE,0.445,"Andrei a Danny vzali žlutou tašku."
S139,1,modern,FALSE,0.236,"Moderní budova má dlouhý stůl drží mnoho ovoce a zeleniny."
S164,1,hotdog,FALSE,0.706,"Hotdog je zabalený v nějaké alobalu."
S166,4,selfie,FALSE,1.153,"Muž si udělá selfie když otevře svůj nový počítač."
S189,0,Danny,TRUE,0.305,"Danny nechal židli s modrým dalekohledem."
S193,0,Danny,TRUE,0.375,"Danny se podíval na Andreje jak dává žlutou židli."
S198,1,baseball,FALSE,0.713,"Baseballista běží chytit míč který byl nadhozen."
S198,7,ball,FALSE,0.444,"Baseballista běží chytit míč který byl nadhozen."
S199,4,skateboard,FALSE,0.686,"Muž a jeho skateboard byli chyceni uprostřed letu."
S200,8,2008,FALSE,0.213,"Datum poštovní známky je 16. března 2008."
